Block,Light (u mol photons m/s/),NH4Cl (mg/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),StDev (controls),StDev / Average (%),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,20,Control,0,1,1,0.0196,0.0441,0.555555556,0.555300714,0.000360401,0.06%,-0.000458926,-1.11E-16
1,20,Control,0,1,2,0.0194,0.0436,0.555045872,NA,NA,NA,0.000458926,NA
1,20,Control,0.3,1,1,0.01238,0.02728,0.546187683,0.540162115,0.008521441,1.58%,-0.011155111,1.67E-16
1,20,Control,0.3,1,2,0.0116,0.0249,0.534136546,NA,NA,NA,0.011155111,NA
1,20,Control,2,1,1,0.009,0.0184,0.510869565,0.505434783,0.007685943,1.52%,-0.010752688,1.11E-16
1,20,Control,2,1,2,0.0092,0.0184,0.5,NA,NA,NA,0.010752688,NA
1,20,Control,24,1,1,0.027,0.0484,0.44214876,0.435824922,0.008943257,2.05%,-0.014510042,-1.11E-16
1,20,Control,24,1,2,0.0263,0.0461,0.429501085,NA,NA,NA,0.014510042,NA
1,20,Control,48,1,1,0.0939,0.1499,0.373582388,0.371027999,0.003612452,0.97%,-0.006884628,1.11E-16
1,20,Control,48,1,2,0.08854,0.1402,0.368473609,NA,NA,NA,0.006884628,NA
1,20,Control,72,1,1,0.11716,0.18862,0.378856961,0.380955492,0.002967771,0.78%,0.005508599,5.55E-17
1,20,Control,72,1,2,0.11854,0.19214,0.383054023,NA,NA,NA,-0.005508599,NA
1,20,267,0,1,1,0.0167,0.03648,0.542214912,NA,NA,NA,0.023565252,0.030704805
1,20,267,0,1,2,0.0163,0.035,0.534285714,NA,NA,NA,0.037844358,NA
1,20,267,0.3,1,1,0.01228,0.0235,0.477446809,NA,NA,NA,0.1161046,0.110582634
1,20,267,0.3,1,2,0.0109,0.0211,0.483412322,NA,NA,NA,0.105060668,NA
1,20,267,2,1,1,0.0102,0.0199,0.487437186,NA,NA,NA,0.035608148,0.018514157
1,20,267,2,1,2,0.0105,0.0212,0.504716981,NA,NA,NA,0.001420166,NA
1,20,267,24,1,1,0.0267,0.04168,0.35940499,NA,NA,NA,0.175345484,0.205256184
1,20,267,24,1,2,0.0304,0.0456,0.333333333,NA,NA,NA,0.235166884,NA
1,20,267,48,1,1,0.09266,0.11736,0.210463531,NA,NA,NA,0.432755663,0.432426947
1,20,267,48,1,2,0.08256,0.1046,0.210707457,NA,NA,NA,0.432098231,NA
1,20,267,72,1,1,0.10098,0.12932,0.219146304,NA,NA,NA,0.424745651,0.420552547
1,20,267,72,1,2,0.10178,0.13088,0.222341076,NA,NA,NA,0.416359442,NA
1,20,26.7,0,1,1,0.0185,0.04,0.5375,NA,NA,NA,0.032055989,0.026609266
1,20,26.7,0,1,2,0.0196,0.04294,0.543549138,NA,NA,NA,0.021162543,NA
1,20,26.7,0.3,1,1,0.0134,0.02764,0.515195369,NA,NA,NA,0.046220838,0.040107014
1,20,26.7,0.3,1,2,0.0136,0.02844,0.521800281,NA,NA,NA,0.03399319,NA
1,20,26.7,2,1,1,0.0101,0.0198,0.48989899,NA,NA,NA,0.030737482,-0.00638617
1,20,26.7,2,1,2,0.0112,0.0237,0.52742616,NA,NA,NA,-0.043509823,NA
1,20,26.7,24,1,1,0.0257,0.0413,0.377723971,NA,NA,NA,0.133312595,0.197239331
1,20,26.7,24,1,2,0.0363,0.05354,0.322002241,NA,NA,NA,0.261166068,NA
1,20,26.7,48,1,1,0.06226,0.14706,0.576635387,NA,NA,NA,-0.554155991,-0.569498459
1,20,26.7,48,1,2,0.06314,0.15326,0.588020358,NA,NA,NA,-0.584840927,NA
1,20,26.7,72,1,1,0.10502,0.16794,0.374657616,NA,NA,NA,0.01653179,0.014493994
1,20,26.7,72,1,2,0.10824,0.17352,0.376210235,NA,NA,NA,0.012456198,NA
1,20,2.67,0,1,1,0.02242,0.0495,0.547070707,NA,NA,NA,0.01482081,0.017208321
1,20,2.67,0,1,2,0.02,0.0439,0.544419134,NA,NA,NA,0.019595831,NA
1,20,2.67,0.3,1,1,0.0155,0.0351,0.558404558,NA,NA,NA,-0.033772164,-0.033193314
1,20,2.67,0.3,1,2,0.0137,0.03098,0.557779212,NA,NA,NA,-0.032614464,NA
1,20,2.67,2,1,1,0.0119,0.025,0.524,NA,NA,NA,-0.036731183,-0.038775315
1,20,2.67,2,1,2,0.01,0.0211,0.526066351,NA,NA,NA,-0.040819447,NA
1,20,2.67,24,1,1,0.03782,0.06256,0.395460358,NA,NA,NA,0.092616467,0.11287422
1,20,2.67,24,1,2,0.0333,0.05352,0.377802691,NA,NA,NA,0.133131973,NA
1,20,2.67,48,1,1,0.10814,0.16706,0.352687657,NA,NA,NA,0.049431152,0.064121787
1,20,2.67,48,1,2,0.10538,0.1601,0.341786384,NA,NA,NA,0.078812422,NA
1,20,2.67,72,1,1,0.1298,0.20302,0.360654123,NA,NA,NA,0.053290659,0.034806371
1,20,2.67,72,1,2,0.1191,0.19048,0.374737505,NA,NA,NA,0.016322082,NA
1,20,0.267,0,1,1,0.0208,0.0442,0.529411765,NA,NA,NA,0.046621494,0.037232309
1,20,0.267,0,1,2,0.0149,0.03238,0.539839407,NA,NA,NA,0.027843124,NA
1,20,0.267,0.3,1,1,0.0169,0.03678,0.540511147,NA,NA,NA,-0.000646163,0.021163951
1,20,0.267,0.3,1,2,0.0114,0.0236,0.516949153,NA,NA,NA,0.042974066,NA
1,20,0.267,2,1,1,0.0135,0.029,0.534482759,NA,NA,NA,-0.057471264,0.021863446
1,20,0.267,2,1,2,0.00764,0.014,0.454285714,NA,NA,NA,0.101198157,NA
1,20,0.267,24,1,1,0.04,0.0645,0.379844961,NA,NA,NA,0.128445984,0.165027646
1,20,0.267,24,1,2,0.0214,0.03282,0.347958562,NA,NA,NA,0.201609307,NA
1,20,0.267,48,1,1,0.0993,0.15578,0.362562588,NA,NA,NA,0.022816096,0.025881037
1,20,0.267,48,1,2,0.0799,0.1249,0.360288231,NA,NA,NA,0.028945978,NA
1,20,0.267,72,1,1,0.11696,0.18314,0.361362892,NA,NA,NA,0.051430156,0.040966523
1,20,0.267,72,1,2,0.09658,0.15314,0.369335249,NA,NA,NA,0.03050289,NA
1,5,Control,0,1,1,0.0153,0.03314,0.538322269,0.525517067,0.018109291,3.45%,-0.024366863,1.11E-16
1,5,Control,0,1,2,0.0161,0.03304,0.512711864,NA,NA,NA,0.024366863,NA
1,5,Control,0.3,1,1,0.0097,0.02178,0.554637282,0.547704907,0.009803859,1.79%,-0.012657135,0
1,5,Control,0.3,1,2,0.0107,0.0233,0.540772532,NA,NA,NA,0.012657135,NA
1,5,Control,2,1,1,0.0091,0.0209,0.564593301,0.557031633,0.010693814,1.92%,-0.013574935,-5.55E-17
1,5,Control,2,1,2,0.0102,0.02264,0.549469965,NA,NA,NA,0.013574935,NA
