Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,80,0.11,24,1,2,0.06794,0.09334,0.27212342,NA,0.33,NA
1,80,0.11,48,1,1,0.08738,0.1289,0.322110163,NA,0.06,0.08
1,80,0.11,48,1,2,0.0989,0.14304,0.308585011,NA,0.1,NA
1,80,0.11,72,1,1,0.0946,0.14704,0.35663765,NA,0.06,0.06
1,80,0.11,72,1,2,0.0938,0.1448,0.352209945,NA,0.07,NA
1,20,Control,0,1,1,0.0113,0.0258,0.562015504,0.560475433,0,0
1,20,Control,0,1,2,0.0116,0.0263,0.558935361,NA,0,NA
1,20,Control,0.3,1,1,0.0132,0.0291,0.546391753,0.544707084,0,0
1,20,Control,0.3,1,2,0.01264,0.02766,0.543022415,NA,0,NA
1,20,Control,2,1,1,0.0119,0.02804,0.575606277,0.57219373,-0.01,0
1,20,Control,2,1,2,0.0121,0.02806,0.568781183,NA,0.01,NA
1,20,Control,24,1,1,0.06,0.1161,0.483204134,0.484418159,0,0
1,20,Control,24,1,2,0.0537,0.1044,0.485632184,NA,0,NA
1,20,Control,48,1,1,0.10618,0.16296,0.348429062,0.351514141,0.01,0
1,20,Control,48,1,2,0.10258,0.15894,0.35459922,NA,-0.01,NA
1,20,Control,72,1,1,0.10746,0.17688,0.392469471,0.399882519,0.02,0
1,20,Control,72,1,2,0.09814,0.16558,0.407295567,NA,-0.02,NA
1,20,MeOH,0,1,1,0.0089,0.0198,0.550505051,NA,0.02,0.01
1,20,MeOH,0,1,2,0.0107,0.0244,0.56147541,NA,0,NA
1,20,MeOH,0.3,1,1,0.0113,0.0241,0.531120332,NA,0.02,0.01
1,20,MeOH,0.3,1,2,0.0122,0.02716,0.550810015,NA,-0.01,NA
1,20,MeOH,2,1,1,0.0091,0.0208,0.5625,NA,0.02,0.02
1,20,MeOH,2,1,2,0.0091,0.0207,0.560386473,NA,0.02,NA
1,20,MeOH,24,1,1,0.0434,0.09706,0.552853905,NA,-0.14,-0.15
1,20,MeOH,24,1,2,0.0454,0.10254,0.557245953,NA,-0.15,NA
