,hours,Light,DIN,Replicate,Absorbance
126,-24,80,2.67,AVERAGE,NA
127,-24,80,0.267,Rep 1,NA
128,-24,80,0.267,Rep 2,NA
129,-24,80,0.267,AVERAGE,NA
130,-24,80,0.0267,Rep 1,NA
131,-24,80,0.0267,Rep 2,NA
132,-24,80,0.0267,AVERAGE,NA
133,-24,20,AlgaeControl,Rep 1,0.0433
134,-24,20,AlgaeControl,Rep 2,0.0426
135,-24,20,AlgaeControl,AVERAGE,0.04295
136,-24,20,AlgaeControl,Rep 1,NA
137,-24,20,AlgaeControl,Rep 2,NA
138,-24,20,AlgaeControl,AVERAGE,NA
139,-24,20,26.7,Rep 1,NA
140,-24,20,26.7,Rep 2,NA
141,-24,20,26.7,AVERAGE,NA
142,-24,20,2.67,Rep 1,NA
143,-24,20,2.67,Rep 2,NA
144,-24,20,2.67,AVERAGE,NA
145,-24,20,0.267,Rep 1,NA
146,-24,20,0.267,Rep 2,NA
147,-24,20,0.267,AVERAGE,NA
148,-24,20,0.0267,Rep 1,NA
149,-24,20,0.0267,Rep 2,NA
150,-24,20,0.0267,AVERAGE,NA
151,-24,5,AlgaeControl,Rep 1,NA
152,-24,5,AlgaeControl,Rep 2,NA
153,-24,5,AlgaeControl,AVERAGE,NA
154,-24,5,AlgaeControl,Rep 1,NA
155,-24,5,AlgaeControl,Rep 2,NA
156,-24,5,AlgaeControl,AVERAGE,NA
157,-24,5,26.7,Rep 1,NA
158,-24,5,26.7,Rep 2,NA
159,-24,5,26.7,AVERAGE,NA
160,-24,5,2.67,Rep 1,NA
161,-24,5,2.67,Rep 2,NA
162,-24,5,2.67,AVERAGE,NA
163,-24,5,0.267,Rep 1,NA
164,-24,5,0.267,Rep 2,NA
165,-24,5,0.267,AVERAGE,NA
166,-24,5,0.0267,Rep 1,NA
167,-24,5,0.0267,Rep 2,NA
168,-24,5,0.0267,AVERAGE,NA
169,-24,Blank,Blank,REP1,NA
170,-24,Blank,Blank,REP2,NA
171,-24,Blank,Blank,AVERAGE,NA
172,0,80,AlgaeControl,Rep 1,0.0561
173,0,80,AlgaeControl,Rep 2,0.0593
174,0,80,AlgaeControl,AVERAGE,0.0577
175,0,80,AlgaeControl,Rep 1,0.0522
176,0,80,AlgaeControl,Rep 2,0.053
177,0,80,AlgaeControl,AVERAGE,0.0526
178,0,80,26.7,Rep 1,0.0577
179,0,80,26.7,Rep 2,0.0531
180,0,80,26.7,AVERAGE,0.0554
181,0,80,2.67,Rep 1,0.0522
182,0,80,2.67,Rep 2,0.0512
183,0,80,2.67,AVERAGE,0.0517
184,0,80,0.267,Rep 1,0.0496
185,0,80,0.267,Rep 2,0.0514
186,0,80,0.267,AVERAGE,0.0505
187,0,80,0.0267,Rep 1,0.0516
188,0,80,0.0267,Rep 2,0.0502
189,0,80,0.0267,AVERAGE,0.0509
190,0,20,AlgaeControl,Rep 1,0.0535
191,0,20,AlgaeControl,Rep 2,0.054
192,0,20,AlgaeControl,AVERAGE,0.05375
193,0,20,AlgaeControl,Rep 1,0.0519
194,0,20,AlgaeControl,Rep 2,0.0518
195,0,20,AlgaeControl,AVERAGE,0.05185
196,0,20,26.7,Rep 1,0.0531
197,0,20,26.7,Rep 2,0.0522
198,0,20,26.7,AVERAGE,0.05265
199,0,20,2.67,Rep 1,0.0507
200,0,20,2.67,Rep 2,0.0522
201,0,20,2.67,AVERAGE,0.05145
202,0,20,0.267,Rep 1,0.0515
203,0,20,0.267,Rep 2,0.0507
204,0,20,0.267,AVERAGE,0.0511
205,0,20,0.0267,Rep 1,0.048
206,0,20,0.0267,Rep 2,0.0484
207,0,20,0.0267,AVERAGE,0.0482
208,0,5,AlgaeControl,Rep 1,0.0524
209,0,5,AlgaeControl,Rep 2,0.0484
210,0,5,AlgaeControl,AVERAGE,0.0504
211,0,5,AlgaeControl,Rep 1,0.0513
212,0,5,AlgaeControl,Rep 2,0.0502
213,0,5,AlgaeControl,AVERAGE,0.05075
214,0,5,26.7,Rep 1,0.053
215,0,5,26.7,Rep 2,0.0604
216,0,5,26.7,AVERAGE,0.0567
217,0,5,2.67,Rep 1,0.0514
218,0,5,2.67,Rep 2,0.0492
219,0,5,2.67,AVERAGE,0.0503
220,0,5,0.267,Rep 1,0.0486
221,0,5,0.267,Rep 2,0.048
222,0,5,0.267,AVERAGE,0.0483
223,0,5,0.0267,Rep 1,0.0469
224,0,5,0.0267,Rep 2,0.049
225,0,5,0.0267,AVERAGE,0.04795
226,0,Blank,Blank,REP1,0.0435
227,0,Blank,Blank,REP2,0.0417
228,0,Blank,Blank,AVERAGE,0.0426
229,0.3,80,AlgaeControl,Rep 1,0.0539
230,0.3,80,AlgaeControl,Rep 2,0.0519
231,0.3,80,AlgaeControl,AVERAGE,0.0529
232,0.3,80,AlgaeControl,Rep 1,0.051
233,0.3,80,AlgaeControl,Rep 2,0.0492
234,0.3,80,AlgaeControl,AVERAGE,0.0501
235,0.3,80,26.7,Rep 1,0.0512
236,0.3,80,26.7,Rep 2,0.0512
237,0.3,80,26.7,AVERAGE,0.0512
238,0.3,80,2.67,Rep 1,0.0493
239,0.3,80,2.67,Rep 2,0.0472
240,0.3,80,2.67,AVERAGE,0.04825
241,0.3,80,0.267,Rep 1,0.0504
242,0.3,80,0.267,Rep 2,0.0493
243,0.3,80,0.267,AVERAGE,0.04985
244,0.3,80,0.0267,Rep 1,0.0472
245,0.3,80,0.0267,Rep 2,0.049
246,0.3,80,0.0267,AVERAGE,0.0481
247,0.3,20,AlgaeControl,Rep 1,0.0484
248,0.3,20,AlgaeControl,Rep 2,0.05
249,0.3,20,AlgaeControl,AVERAGE,0.0492
250,0.3,20,AlgaeControl,Rep 1,0.0531
251,0.3,20,AlgaeControl,Rep 2,0.0481
252,0.3,20,AlgaeControl,AVERAGE,0.0506
253,0.3,20,26.7,Rep 1,0.0489
254,0.3,20,26.7,Rep 2,0.0484
255,0.3,20,26.7,AVERAGE,0.04865
256,0.3,20,2.67,Rep 1,0.0478
257,0.3,20,2.67,Rep 2,0.0487
258,0.3,20,2.67,AVERAGE,0.04825
259,0.3,20,0.267,Rep 1,0.0479
260,0.3,20,0.267,Rep 2,0.0497
261,0.3,20,0.267,AVERAGE,0.0488
262,0.3,20,0.0267,Rep 1,0.0479
263,0.3,20,0.0267,Rep 2,0.0474
264,0.3,20,0.0267,AVERAGE,0.04765
265,0.3,5,AlgaeControl,Rep 1,0.0485
266,0.3,5,AlgaeControl,Rep 2,0.0472
267,0.3,5,AlgaeControl,AVERAGE,0.04785
268,0.3,5,AlgaeControl,Rep 1,0.0477
269,0.3,5,AlgaeControl,Rep 2,0.0485
270,0.3,5,AlgaeControl,AVERAGE,0.0481
271,0.3,5,26.7,Rep 1,0.0477
272,0.3,5,26.7,Rep 2,0.0461
273,0.3,5,26.7,AVERAGE,0.0469
274,0.3,5,2.67,Rep 1,0.0467
275,0.3,5,2.67,Rep 2,0.0478
276,0.3,5,2.67,AVERAGE,0.04725
277,0.3,5,0.267,Rep 1,0.0485
278,0.3,5,0.267,Rep 2,0.0488
279,0.3,5,0.267,AVERAGE,0.04865
280,0.3,5,0.0267,Rep 1,0.0458
281,0.3,5,0.0267,Rep 2,0.0495
282,0.3,5,0.0267,AVERAGE,0.04765
283,0.3,Blank,Blank,REP1,0.0448
284,0.3,Blank,Blank,REP2,0.0418
285,0.3,Blank,Blank,AVERAGE,0.0433
286,2,80,AlgaeControl,Rep 1,0.0514
287,2,80,AlgaeControl,Rep 2,0.0519
288,2,80,AlgaeControl,AVERAGE,0.05165
289,2,80,AlgaeControl,Rep 1,0.0505
290,2,80,AlgaeControl,Rep 2,0.0512
291,2,80,AlgaeControl,AVERAGE,0.05085
292,2,80,26.7,Rep 1,0.0481
293,2,80,26.7,Rep 2,0.0509
294,2,80,26.7,AVERAGE,0.0495
295,2,80,2.67,Rep 1,0.0499
296,2,80,2.67,Rep 2,0.0483
297,2,80,2.67,AVERAGE,0.0491
298,2,80,0.267,Rep 1,0.0517
299,2,80,0.267,Rep 2,0.0501
300,2,80,0.267,AVERAGE,0.0509
301,2,80,0.0267,Rep 1,0.0482
302,2,80,0.0267,Rep 2,0.0484
303,2,80,0.0267,AVERAGE,0.0483
304,2,20,AlgaeControl,Rep 1,0.0484
305,2,20,AlgaeControl,Rep 2,0.048
306,2,20,AlgaeControl,AVERAGE,0.0482
307,2,20,AlgaeControl,Rep 1,0.0467
308,2,20,AlgaeControl,Rep 2,0.0472
309,2,20,AlgaeControl,AVERAGE,0.04695
310,2,20,26.7,Rep 1,0.049
311,2,20,26.7,Rep 2,0.0485
312,2,20,26.7,AVERAGE,0.04875
313,2,20,2.67,Rep 1,0.0481
314,2,20,2.67,Rep 2,0.0485
315,2,20,2.67,AVERAGE,0.0483
316,2,20,0.267,Rep 1,0.0479
317,2,20,0.267,Rep 2,0.0481
318,2,20,0.267,AVERAGE,0.048
319,2,20,0.0267,Rep 1,0.0488
320,2,20,0.0267,Rep 2,0.049
321,2,20,0.0267,AVERAGE,0.0489
322,2,5,AlgaeControl,Rep 1,0.0467
323,2,5,AlgaeControl,Rep 2,0.0458
324,2,5,AlgaeControl,AVERAGE,0.04625
325,2,5,AlgaeControl,Rep 1,0.0488
326,2,5,AlgaeControl,Rep 2,0.0455
327,2,5,AlgaeControl,AVERAGE,0.04715
328,2,5,26.7,Rep 1,0.0471
329,2,5,26.7,Rep 2,0.0458
330,2,5,26.7,AVERAGE,0.04645
331,2,5,2.67,Rep 1,0.0479
332,2,5,2.67,Rep 2,0.0466
333,2,5,2.67,AVERAGE,0.04725
334,2,5,0.267,Rep 1,0.0473
335,2,5,0.267,Rep 2,0.0453
336,2,5,0.267,AVERAGE,0.0463
337,2,5,0.0267,Rep 1,0.0464
338,2,5,0.0267,Rep 2,0.0465
339,2,5,0.0267,AVERAGE,0.04645
340,2,Blank,Blank,REP1,0.0427
341,2,Blank,Blank,REP2,0.0416
342,2,Blank,Blank,AVERAGE,0.04215
343,24,80,AlgaeControl,Rep 1,0.0725
344,24,80,AlgaeControl,Rep 2,0.0628
345,24,80,AlgaeControl,AVERAGE,0.06765
346,24,80,AlgaeControl,Rep 1,0.0678
347,24,80,AlgaeControl,Rep 2,0.0661
348,24,80,AlgaeControl,AVERAGE,0.06695
349,24,80,26.7,Rep 1,0.0747
350,24,80,26.7,Rep 2,0.0655
351,24,80,26.7,AVERAGE,0.0701
352,24,80,2.67,Rep 1,0.0675
353,24,80,2.67,Rep 2,0.073
354,24,80,2.67,AVERAGE,0.07025
355,24,80,0.267,Rep 1,0.0691
356,24,80,0.267,Rep 2,0.0718
357,24,80,0.267,AVERAGE,0.07045
358,24,80,0.0267,Rep 1,0.0669
359,24,80,0.0267,Rep 2,0.0676
360,24,80,0.0267,AVERAGE,0.06725
361,24,20,AlgaeControl,Rep 1,0.0605
362,24,20,AlgaeControl,Rep 2,0.0658
363,24,20,AlgaeControl,AVERAGE,0.06315
364,24,20,AlgaeControl,Rep 1,0.0619
365,24,20,AlgaeControl,Rep 2,0.0635
366,24,20,AlgaeControl,AVERAGE,0.0627
367,24,20,26.7,Rep 1,0.0615
368,24,20,26.7,Rep 2,0.066
369,24,20,26.7,AVERAGE,0.06375
370,24,20,2.67,Rep 1,0.0691
371,24,20,2.67,Rep 2,0.0674
372,24,20,2.67,AVERAGE,0.06825
373,24,20,0.267,Rep 1,0.0618
374,24,20,0.267,Rep 2,0.0665
375,24,20,0.267,AVERAGE,0.06415
376,24,20,0.0267,Rep 1,0.065
377,24,20,0.0267,Rep 2,0.0675
378,24,20,0.0267,AVERAGE,0.06625
379,24,5,AlgaeControl,Rep 1,0.0529
380,24,5,AlgaeControl,Rep 2,0.0544
381,24,5,AlgaeControl,AVERAGE,0.05365
382,24,5,AlgaeControl,Rep 1,0.0529
383,24,5,AlgaeControl,Rep 2,0.0524
384,24,5,AlgaeControl,AVERAGE,0.05265
385,24,5,26.7,Rep 1,0.0566
386,24,5,26.7,Rep 2,0.0526
387,24,5,26.7,AVERAGE,0.0546
388,24,5,2.67,Rep 1,0.056
389,24,5,2.67,Rep 2,0.0579
390,24,5,2.67,AVERAGE,0.05695
391,24,5,0.267,Rep 1,0.0548
392,24,5,0.267,Rep 2,0.0524
393,24,5,0.267,AVERAGE,0.0536
394,24,5,0.0267,Rep 1,0.0513
395,24,5,0.0267,Rep 2,0.0518
396,24,5,0.0267,AVERAGE,0.05155
397,24,Blank,Blank,REP1,0.0428
398,24,Blank,Blank,REP2,0.0416
399,24,Blank,Blank,AVERAGE,0.0422
400,48,80,AlgaeControl,Rep 1,0.0811
401,48,80,AlgaeControl,Rep 2,0.096
402,48,80,AlgaeControl,AVERAGE,0.08855
403,48,80,AlgaeControl,Rep 1,0.07
404,48,80,AlgaeControl,Rep 2,0.0733
405,48,80,AlgaeControl,AVERAGE,0.07165
406,48,80,26.7,Rep 1,0.0794
407,48,80,26.7,Rep 2,0.0849
408,48,80,26.7,AVERAGE,0.08215
409,48,80,2.67,Rep 1,0.0684
410,48,80,2.67,Rep 2,0.0713
411,48,80,2.67,AVERAGE,0.06985
412,48,80,0.267,Rep 1,0.0804
413,48,80,0.267,Rep 2,0.0737
414,48,80,0.267,AVERAGE,0.07705
415,48,80,0.0267,Rep 1,0.0679
416,48,80,0.0267,Rep 2,0.0682
417,48,80,0.0267,AVERAGE,0.06805
418,48,20,AlgaeControl,Rep 1,0.0825
419,48,20,AlgaeControl,Rep 2,0.0656
420,48,20,AlgaeControl,AVERAGE,0.07405
421,48,20,AlgaeControl,Rep 1,0.0773
422,48,20,AlgaeControl,Rep 2,0.0689
423,48,20,AlgaeControl,AVERAGE,0.0731
424,48,20,26.7,Rep 1,0.08
425,48,20,26.7,Rep 2,0.0846
426,48,20,26.7,AVERAGE,0.0823
427,48,20,2.67,Rep 1,0.0849
428,48,20,2.67,Rep 2,0.0849
429,48,20,2.67,AVERAGE,0.0849
430,48,20,0.267,Rep 1,0.0782
431,48,20,0.267,Rep 2,0.0757
432,48,20,0.267,AVERAGE,0.07695
433,48,20,0.0267,Rep 1,0.0887
434,48,20,0.0267,Rep 2,0.0802
435,48,20,0.0267,AVERAGE,0.08445
436,48,5,AlgaeControl,Rep 1,0.0589
437,48,5,AlgaeControl,Rep 2,0.0608
438,48,5,AlgaeControl,AVERAGE,0.05985
439,48,5,AlgaeControl,Rep 1,0.0622
440,48,5,AlgaeControl,Rep 2,0.0559
441,48,5,AlgaeControl,AVERAGE,0.05905
442,48,5,26.7,Rep 1,0.0609
443,48,5,26.7,Rep 2,0.0628
444,48,5,26.7,AVERAGE,0.06185
445,48,5,2.67,Rep 1,0.0572
446,48,5,2.67,Rep 2,0.0589
447,48,5,2.67,AVERAGE,0.05805
448,48,5,0.267,Rep 1,0.0553
449,48,5,0.267,Rep 2,0.058
450,48,5,0.267,AVERAGE,0.05665
451,48,5,0.0267,Rep 1,0.0563
452,48,5,0.0267,Rep 2,0.0595
453,48,5,0.0267,AVERAGE,0.0579
454,48,Blank,Blank,REP1,0.043
455,48,Blank,Blank,REP2,0.0423
456,48,Blank,Blank,AVERAGE,0.04265
457,72,80,AlgaeControl,Rep 1,0.0786
458,72,80,AlgaeControl,Rep 2,0.0894
459,72,80,AlgaeControl,AVERAGE,0.084
460,72,80,AlgaeControl,Rep 1,0.0735
461,72,80,AlgaeControl,Rep 2,0.0716
462,72,80,AlgaeControl,AVERAGE,0.07255
463,72,80,26.7,Rep 1,0.0846
464,72,80,26.7,Rep 2,0.0859
465,72,80,26.7,AVERAGE,0.08525
466,72,80,2.67,Rep 1,0.0707
467,72,80,2.67,Rep 2,0.0763
468,72,80,2.67,AVERAGE,0.0735
469,72,80,0.267,Rep 1,0.0812
470,72,80,0.267,Rep 2,0.0809
471,72,80,0.267,AVERAGE,0.08105
472,72,80,0.0267,Rep 1,0.0696
473,72,80,0.0267,Rep 2,0.0706
474,72,80,0.0267,AVERAGE,0.0701
475,72,20,AlgaeControl,Rep 1,0.0832
476,72,20,AlgaeControl,Rep 2,0.0794
477,72,20,AlgaeControl,AVERAGE,0.0813
478,72,20,AlgaeControl,Rep 1,0.0812
479,72,20,AlgaeControl,Rep 2,0.08
480,72,20,AlgaeControl,AVERAGE,0.0806
481,72,20,26.7,Rep 1,0.0839
482,72,20,26.7,Rep 2,0.0749
483,72,20,26.7,AVERAGE,0.0794
484,72,20,2.67,Rep 1,0.0825
485,72,20,2.67,Rep 2,0.0811
486,72,20,2.67,AVERAGE,0.0818
487,72,20,0.267,Rep 1,0.077
488,72,20,0.267,Rep 2,0.0778
489,72,20,0.267,AVERAGE,0.0774
490,72,20,0.0267,Rep 1,0.0825
491,72,20,0.0267,Rep 2,0.0806
492,72,20,0.0267,AVERAGE,0.08155
493,72,5,AlgaeControl,Rep 1,0.0747
494,72,5,AlgaeControl,Rep 2,0.0723
495,72,5,AlgaeControl,AVERAGE,0.0735
496,72,5,AlgaeControl,Rep 1,0.0707
497,72,5,AlgaeControl,Rep 2,0.0657
498,72,5,AlgaeControl,AVERAGE,0.0682
499,72,5,26.7,Rep 1,0.0712
500,72,5,26.7,Rep 2,0.0812
501,72,5,26.7,AVERAGE,0.0762
502,72,5,2.67,Rep 1,0.0719
503,72,5,2.67,Rep 2,0.0687
504,72,5,2.67,AVERAGE,0.0703
505,72,5,0.267,Rep 1,0.0744
506,72,5,0.267,Rep 2,0.0711
507,72,5,0.267,AVERAGE,0.07275
508,72,5,0.0267,Rep 1,0.0652
509,72,5,0.0267,Rep 2,0.0742
510,72,5,0.0267,AVERAGE,0.0697
511,72,Blank,Blank,REP1,0.0432
512,72,Blank,Blank,REP2,0.0424
513,72,Blank,Blank,AVERAGE,0.0428
