,hours,Light,DIN,Replicate,Absorbance
428,48,20,2.67,Rep 2,0.0765
429,48,20,2.67,AVERAGE,0.0786
430,48,20,0.267,Rep 1,0.0787
431,48,20,0.267,Rep 2,0.0697
432,48,20,0.267,AVERAGE,0.0742
433,48,20,0.0267,Rep 1,0.0722
434,48,20,0.0267,Rep 2,0.0706
435,48,20,0.0267,AVERAGE,0.0714
436,48,5,AlgaeControl,Rep 1,0.068
437,48,5,AlgaeControl,Rep 2,0.0692
438,48,5,AlgaeControl,AVERAGE,0.0686
439,48,5,AlgaeControl,Rep 1,0.0652
440,48,5,AlgaeControl,Rep 2,0.0737
441,48,5,AlgaeControl,AVERAGE,0.06945
442,48,5,26.7,Rep 1,0.065
443,48,5,26.7,Rep 2,0.0662
444,48,5,26.7,AVERAGE,0.0656
445,48,5,2.67,Rep 1,0.0729
446,48,5,2.67,Rep 2,0.0779
447,48,5,2.67,AVERAGE,0.0754
448,48,5,0.267,Rep 1,0.059
449,48,5,0.267,Rep 2,0.0638
450,48,5,0.267,AVERAGE,0.0614
451,48,5,0.0267,Rep 1,0.0591
452,48,5,0.0267,Rep 2,0.0622
453,48,5,0.0267,AVERAGE,0.06065
454,48,Blank,Blank,REP1,0.0432
455,48,Blank,Blank,REP2,0.0424
456,48,Blank,Blank,AVERAGE,0.0428
457,72,80,AlgaeControl,Rep 1,0.0715
458,72,80,AlgaeControl,Rep 2,0.0639
459,72,80,AlgaeControl,AVERAGE,0.0677
460,72,80,AlgaeControl,Rep 1,0.0712
461,72,80,AlgaeControl,Rep 2,0.0724
462,72,80,AlgaeControl,AVERAGE,0.0718
463,72,80,26.7,Rep 1,0.0776
464,72,80,26.7,Rep 2,0.096
465,72,80,26.7,AVERAGE,0.0868
466,72,80,2.67,Rep 1,0.0802
467,72,80,2.67,Rep 2,0.0764
468,72,80,2.67,AVERAGE,0.0783
469,72,80,0.267,Rep 1,0.0839
470,72,80,0.267,Rep 2,0.086
471,72,80,0.267,AVERAGE,0.08495
472,72,80,0.0267,Rep 1,0.0675
473,72,80,0.0267,Rep 2,0.0739
474,72,80,0.0267,AVERAGE,0.0707
475,72,20,AlgaeControl,Rep 1,0.0913
476,72,20,AlgaeControl,Rep 2,0.0714
477,72,20,AlgaeControl,AVERAGE,0.08135
478,72,20,AlgaeControl,Rep 1,0.0713
479,72,20,AlgaeControl,Rep 2,0.0786
480,72,20,AlgaeControl,AVERAGE,0.07495
481,72,20,26.7,Rep 1,0.1016
482,72,20,26.7,Rep 2,0.091
483,72,20,26.7,AVERAGE,0.0963
484,72,20,2.67,Rep 1,0.085
485,72,20,2.67,Rep 2,0.0864
486,72,20,2.67,AVERAGE,0.0857
487,72,20,0.267,Rep 1,0.0748
488,72,20,0.267,Rep 2,0.0713
489,72,20,0.267,AVERAGE,0.07305
490,72,20,0.0267,Rep 1,0.0635
491,72,20,0.0267,Rep 2,0.0686
492,72,20,0.0267,AVERAGE,0.06605
493,72,5,AlgaeControl,Rep 1,0.091
494,72,5,AlgaeControl,Rep 2,0.1014
495,72,5,AlgaeControl,AVERAGE,0.0962
496,72,5,AlgaeControl,Rep 1,0.0912
497,72,5,AlgaeControl,Rep 2,0.0911
498,72,5,AlgaeControl,AVERAGE,0.09115
499,72,5,26.7,Rep 1,0.0694
500,72,5,26.7,Rep 2,0.0635
501,72,5,26.7,AVERAGE,0.06645
502,72,5,2.67,Rep 1,0.0688
503,72,5,2.67,Rep 2,0.0698
504,72,5,2.67,AVERAGE,0.0693
505,72,5,0.267,Rep 1,0.0751
506,72,5,0.267,Rep 2,0.0659
507,72,5,0.267,AVERAGE,0.0705
508,72,5,0.0267,Rep 1,0.0616
509,72,5,0.0267,Rep 2,0.0608
510,72,5,0.0267,AVERAGE,0.0612
511,72,Blank,Blank,REP1,0.0435
512,72,Blank,Blank,REP2,0.0427
513,72,Blank,Blank,AVERAGE,0.0431
