,hours,Light,Diuron,Replicate,Absorbance
132,-24,80,0.11,AVERAGE,NA
133,-24,20,AlgaeControl,Rep 1,0.0429
134,-24,20,AlgaeControl,Rep 2,0.0432
135,-24,20,AlgaeControl,AVERAGE,0.04305
136,-24,20,MeOHControl,Rep 1,NA
137,-24,20,MeOHControl,Rep 2,NA
138,-24,20,MeOH,AVERAGE,NA
139,-24,20,3,Rep 1,NA
140,-24,20,3,Rep 2,NA
141,-24,20,3,AVERAGE,NA
142,-24,20,1,Rep 1,NA
143,-24,20,1,Rep 2,NA
144,-24,20,1,AVERAGE,NA
145,-24,20,0.33,Rep 1,NA
146,-24,20,0.33,Rep 2,NA
147,-24,20,0.33,AVERAGE,NA
148,-24,20,0.11,Rep 1,NA
149,-24,20,0.11,Rep 2,NA
150,-24,20,0.11,AVERAGE,NA
151,-24,5,AlgaeControl,Rep 1,NA
152,-24,5,AlgaeControl,Rep 2,NA
153,-24,5,AlgaeControl,AVERAGE,NA
154,-24,5,MeOHControl,Rep 1,NA
155,-24,5,MeOHControl,Rep 2,NA
156,-24,5,MeOH,AVERAGE,NA
157,-24,5,3,Rep 1,NA
158,-24,5,3,Rep 2,NA
159,-24,5,3,AVERAGE,NA
160,-24,5,1,Rep 1,NA
161,-24,5,1,Rep 2,NA
162,-24,5,1,AVERAGE,NA
163,-24,5,0.33,Rep 1,NA
164,-24,5,0.33,Rep 2,NA
165,-24,5,0.33,AVERAGE,NA
166,-24,5,0.11,Rep 1,NA
167,-24,5,0.11,Rep 2,NA
168,-24,5,0.11,AVERAGE,NA
169,-24,Blank,Blank,Rep 1,NA
170,-24,Blank,Blank,Rep 2,NA
171,-24,Blank,Blank,AVERAGE,NA
172,0,80,AlgaeControl,Rep 1,0.0542
173,0,80,AlgaeControl,Rep 2,0.0528
174,0,80,AlgaeControl,AVERAGE,0.0535
175,0,80,MeOHControl,Rep 1,0.0647
176,0,80,MeOHControl,Rep 2,0.0533
177,0,80,MeOH,AVERAGE,0.059
178,0,80,3,Rep 1,0.0529
179,0,80,3,Rep 2,0.0584
180,0,80,3,AVERAGE,0.05565
181,0,80,1,Rep 1,0.0535
182,0,80,1,Rep 2,0.0515
183,0,80,1,AVERAGE,0.0525
184,0,80,0.33,Rep 1,0.0495
185,0,80,0.33,Rep 2,0.0491
186,0,80,0.33,AVERAGE,0.0493
187,0,80,0.11,Rep 1,0.0482
188,0,80,0.11,Rep 2,0.0483
189,0,80,0.11,AVERAGE,0.04825
190,0,20,AlgaeControl,Rep 1,0.0523
191,0,20,AlgaeControl,Rep 2,0.0531
192,0,20,AlgaeControl,AVERAGE,0.0527
193,0,20,MeOHControl,Rep 1,0.0567
194,0,20,MeOHControl,Rep 2,0.0553
195,0,20,MeOH,AVERAGE,0.056
196,0,20,3,Rep 1,0.0519
197,0,20,3,Rep 2,0.0531
198,0,20,3,AVERAGE,0.0525
199,0,20,1,Rep 1,0.0538
